dataset,trait,var_participant,var_module,var_residual,var_total,icc_participant,icc_module,icc_residual,var_identity,icc_identity
cn,warm,0.2737274189646796,0.0,1.9819463020944001,2.529260278254207,0.10822429835240872,0.0,0.783607096167428,0.2735865571951273,0.10816860548016327
cn,critical,0.373371633896928,0.005876201192653285,2.2327681045990913,3.0314996933308005,0.1231640018695477,0.001938380929274291,0.7365226226184708,0.41948375364212775,0.1383749945827071
cn,competent,0.32560057976545964,0.0,1.4720317166572172,2.1034847988024277,0.15479103055597696,0.0,0.6998062061086848,0.3058525023797507,0.1454027633353381
cn,practical,0.28830928798767674,0.0,1.6140140502730196,2.2581696016245854,0.1276738858676778,0.0,0.7147443881592669,0.35584626336388914,0.15758172597305542
cn,feminine,0.06414251764055214,0.0,0.8701055580509439,6.2546942711245945,0.01025510038702808,0.0,0.1391124042733585,5.320446195433099,0.8506324953396135
cn,strong,0.309131563541883,0.0,1.3715213289964479,2.5849665359176663,0.1195882264805184,0.0,0.5305760480607368,0.9043136433793354,0.34983572545874486
cn,young,0.20228960809474525,0.0,0.9181673664754009,3.148712019483394,0.06424519195246528,0.0,0.29160093422136574,2.028255044913248,0.644153873826169
cn,charismatic,0.30521153776160725,0.005513223744537402,2.036235493030221,2.713926241479758,0.11246125008732435,0.002031456736101766,0.7502913903511141,0.36696598694339216,0.13521590282545976
cn,trustworthy,0.3509663424890521,0.0031835162720002443,1.7805231836240174,2.3681216014833297,0.14820452727985586,0.0013443212840109954,0.7518715181301264,0.23344855909826007,0.09857963330600673
cn,attractive,0.37450685344014295,0.0,1.8630913776632974,3.192187660004689,0.1173198111540826,0.0,0.5836409309534643,0.9545894289012486,0.2990392578924531
